Name,Native language ,Primary homeland,Majority religion and sect
Fula,"Niger–Congo, Atlantic-Congo, Senegambian, Fula",West Africa ,Islam
Fur,"Nilo-Saharan, Darfuran, Fur",Darfur ,"Islam, Sunni Islam"
Ga-Adangbe,"Niger–Congo, Kwa, Ga-Dangme ",Greater Accra,Christianity
Gagauz,"Turkic, Oghuz, Gagauz","Gagauzia, Budjak","Christianity, Eastern Orthodoxy"
Galicians,"Indo-European, Romance, Galician",Galicia ,"Christianity, Catholicism"
Ganda,"Niger–Congo, Atlantic–Congo, Bantu, Ganda",Buganda ,"Christianity, Traditional African religions"
Garifuna,"Arawakan, Igneri, Garifuna",Saint Vincent and the Grenadines ,"Christianity, Catholicism"
Gbagyi,"Niger–Congo, Volta–Niger, Nupoid, Gwari",Nigeria,"Christianity, Islam, Traditional African religions"
Georgians,"Kartvelian, Georgian",Georgia,"Christianity, Eastern Orthodoxy"
Germans,"Indo-European, Germanic, German","Austria, Germany, Switzerland, Liechtenstein, Alsace ",Christianity
Gorontaloan,"Austronesian, Gorontalo-Mongondow, Gorontaloan",Gorontalo,"Islam, Sunni Islam"
Greeks,"Indo-European, Greek","Greece, Cyprus","Christianity, Eastern Orthodoxy"
Guaraní,"Tupian, Tupi-Guarani, Guarani","Paraguay, Misiones, Bolivia, Brazil","Christianity, Catholicism"
Gujarati,"Indo-European, Indo-Aryan, Gujarati",Gujarat ,Hinduism
Gumuz,"Nilo-Saharan, Komuz, Gumuz",Benishangul-Gumuz Region,Traditional African religion
Gurage,"Afroasiatic, Semitic, Gurage ",Guragia ,Christianity
Gurma,"Niger–Congo, Gur, Oti–Volta, Gurma ","Gurmaland, Niger",Islam
Gurunsi,"Niger–Congo, Gur, Gurunsi ","Burkina Faso, Ghana, Togo","Traditional African religions, Islam, Sunni Islam"
Hajongs,"Sino-Tibetan, Sal, Bodo–Garo, Hajong ","India , Bangladesh",Hinduism
Han,"Sino-Tibetan, Sinitic, Chinese","China, Taiwan",Chinese folk religion 
Harari,"Afroasiatic, Semitic, Ethiopian, Harari",Hararia ,Islam
Hausa,"Afroasiatic, Chadic, Hausa",Hausaland ,Islam
Hawaiians,"Austronesian, Polynesian, Hawaiian ",Hawaii ,Christianity
Hazaras,"Indo-European, Iranian, Persian, Hazaragi",Afghanistan,"Islam, Shia Islam"
Herero,"Niger–Congo, Atlantic–Congo, Bantu, Herero","Hereroland, Angola",Christianity
Hmong,"Hmong–Mien, Hmongic, Hmong","China , Vietnam, Laos, Thailand",Hmong folk religion
Huli,"Trans–New Guinea, Engan, Huli",Southern Highlands Province ,Christianity
Hungarians,"Uralic, Ugric, Hungarian","Hungary, Székely Land , Felvidék ","Christianity, Catholicism"
Hutu,"Niger–Congo, Atlantic–Congo, Bantu, Rwanda-Rundi ","Rwanda, Burundi, Kivu ",Christianity
Ibibio,"Niger–Congo, Cross River, Ibibio-Efik, Ibibio",Akwa Ibom State,Christianity
Icelanders,"Indo-European, Germanic, Icelandic",Iceland,"Christianity, Protestantism"
Igbo,"Niger–Congo, Igboid, Igbo",Igboland ,Christianity
Ijaw,"Niger–Congo, Ijaw ",Nigeria ,Christianity
Ingushes,"Northeast Caucasian, Nakh, Vainakh, Ingush",Ingushetia,"Islam, Sunni Islam"
Inuit,"Eskimo–Aleut, Inuit ","Greenland, Canada , Alaska ",Christianity
Irish,"Indo-European, Celtic, Goidelic, Irish ",Ireland ,"Christianity, Catholicism"
Iroquois,Iroquoian   ,Haudenosauneega ,Longhouse Religion
Italians,"Indo-European, Romance, Italian",Italy ,"Christianity, Catholicism"
Japanese,"Japonic, Japanese",Japan,Shinto
Javanese,"Austronesian, Malayo-Polynesian, Javanese",Java ,"Islam, Sunni Islam"
Jews,"Afroasiatic, Semitic, Canaanite, Hebrew ",Israel,Judaism
Jingpo,"Sino-Tibetan, Sal, Jingpho","Kachin State, Yunnan ",Animism
Jola,"Niger–Congo, Atlantic-Congo, Bak-Bijago, Jola",Jolaland ,Traditional African religions
Kalanga,"Niger–Congo, Atlantic–Congo, Bantu, Kalanga","Zimbabwe, Botswana","Traditional African religion, Christianity"
Kalenjin,"Nilo-Saharan, Nilotic, Nandi–Markweta ",Rift Valley Province ,Christianity
Kanaks,"Austronesian, Oceanic, Kanak ",Kanakia,"Christianity, Catholicism"
Kannadigas,"Dravidian, Kannada",Karnataka ,Hinduism
Kanuri,"Nilo-Saharan, Saharan, Kanuri","Kanuriland, Niger, Chad, Cameroon",Islam
Karachays,"Turkic, Kipchak, Karachay-Balkar ",Karachay-Cherkessia,"Islam, Sunni Islam"
Karakalpaks,"Turkic, Kipchak, Karakalpak",Karakalpakstan,"Islam, Sunni Islam"
Karelians,"Uralic, Finnic, Karelian",Karelia ,"Christianity, Eastern Orthodox"
Karen,"Sino-Tibetan, Karen ","Karen State, Thailand","Buddhism, Theravada Buddhism"
Karenni,"Sino-Tibetan, Karenni",Kayah State,"Animism, Buddhism, Theravada Buddhism"
Kashmiris,"Indo-European, Indo-Aryan, Dardic, Kashmiri",Kashmir ,"Islam, Sunni Islam"
Kashubians,"Indo-European, Slavic, Pomeranian, Kashubian",Kashubia ,"Christianity, Catholicism"
Kazakhs,"Turkic, Kipchak, Kazakh",Kazakhstan,"Islam, Sunni Islam"
Khakas,"Turkic, Siberian Turkic, Khakas",Khakassia,"Christianity, Eastern Orthodox"
Khamti,"Kra–Dai, Tai, Khamti","Myanmar, India","Buddhism, Theravada Buddhism"
Khas,"Indo-European, Indo-Iranian, Indo-Aryan, Nepali",Nepal,Hinduism
Khmer,"Austroasiatic, Khmer",Cambodia,"Buddhism, Theravada Buddhism"
Kikuyu,"Niger–Congo, Bantu, Northeast Bantu, Kikuyu",Kenya,Christianity
Komi,"Uralic, Permic, Komi","Komi Republic, Permyakia","Christianity, Eastern Orthodox"
Kongo,"Niger–Congo, Atlantic–Congo, Bantu, Kongo",Kongoland,"Christianity, Traditional African religions, Kongo religion"
Konjo,"Niger–Congo, Atlantic–Congo, Bantu, Konjo",Rwenzori Mountains,Christianity
Konkani,"Indo-European, Indo-Iranian, Indo-Aryan, Konkani",Goa ,Hinduism
Koreans,"Koreanic, Korean",Korea,"Buddhism, Christianity"
Kumyks,"Turkic, Kypchak, Kumyk",Kumykia ,"Islam, Sunni Islam"
Kunama,"Nilo-Saharan, Kunama","Eritrea, Ethiopia","Christianity, Oriental Orthodoxy"
Kurds,"Indo-European, Indo-Iranian, Iranian, Kurdish",Kurdistan ,"Islam, Sunni Islam"
Kyrgyz,"Turkic, Kipchak, Kyrgyz",Kyrgyzstan,"Islam, Sunni Islam"
Laks,"Northeast Caucasian, Lak",Lakia in Dagestan,"Islam, Sunni Islam"
Lango,"Nilo-Saharan, Nilotic, Luo, Lango",Uganda,"Christianity, Traditional African religions"
Lao,"Kra–Dai, Tai, Lao",Laos,"Buddhism, Theravada Buddhism"
Latvians,"Indo-European, Baltic, Latvian",Latvia,"Christianity, Protestantism"
Laz,"Kartvelian, Zan, Laz",Lazistan ,"Islam, Sunni Islam"
Lega,"Niger–Congo, Bantu, Lega–Binja, Lega",Democratic Republic of the Congo,Traditional African religions
Lezgins,"Northeast Caucasian, Lezgic, Lezgian",Lezgistan ,"Islam, Sunni Islam"
Lithuanians,"Indo-European, Baltic, Lithuanian",Lithuania,"Christianity, Catholicism"
Luba,"Niger–Congo, Atlantic–Congo, Bantu, Luban ",Lubaland,"Christianity, Traditional African religions"
Luo,"Nilo-Saharan, Nilotic, Lwoian, Luo","Kenya, Tanzania","Christianity, Traditional African religions"
Lurs,"Indo-European, Indo-Iranian, Iranian, Luri",Iran,"Islam, Shia Islam"
Luxembourgers,"Indo-European, Germanic, High German, Luxembourgish","Luxembourg, Arelerland","Christianity, Catholicism"
Maasai,"Nilo-Saharan, Nilotic, Eastern Nilotic, Maasai",Maasailand,Maasai faith
Macedonians,"Indo-European, Slavic, South Slavic, Macedonian",Republic of Macedonia,"Christianity, Eastern Orthodox"
Madi,"Nilo-Saharan, Central Sudanic, Moru–Madi, Ma'di","Democratic Republic of the Congo, South Sudan, Uganda",Christianity
Mafa,"Afroasiatic, Chadic, Biu–Mandara, Mafa",Cameroon,Christianity
Makassarese,"Austronesian, Makassaric, Makassarese",South Sulawesi,Sunni Islam
Malayali,"Dravidian, Malayalam",Kerala ,Hinduism
Malays,"Austronesian, Malayo-Polynesian, Malay",Malay world,"Islam, Sunni Islam"
Maldivians,"Indo-European, Indo-Aryan, Maldivian",Maldives,"Islam, Sunni Islam"
Maltese,"Afroasiatic, Semitic, Arabic, Siculo-Arabic, Maltese",Malta,"Christianity, Catholicism"
Manchu,"Tungusic, Manchu ",Manchuria ,"Manchu shamanism, Buddhism"
Mandinka,"Niger–Congo, Mande, Manding ","Mali, The Gambia, Guinea, Senegal, Ivory Coast",Islam
Manx,"Indo-European, Celtic, Gaelic, Manx ",Isle of Man,"Christianity, Protestantism"
Mapuche,"Araucanian, Mapudungun",Patagonia ,Christianity
Marathi,"Indo-European, Indo-Iranian, Indo-Aryan, Marathi",Maharashtra,Hinduism
Mari,"Uralic, Mari",Mari El ,"Christianity, Eastern Orthodox"
Masa,"Afroasiatic, Chadic, Masa ","Cameroon, Chad","Christianity, Islam"
Masalit,"Nilo-Saharan, Maban, Masalit","Sudan, Chad","Islam, Sunni Islam"
Mayans,Mayan ,"Guatemala, Belize, Mexico , Honduras, El Salvador","Christianity, Catholicism, Maya religion"
Mbaka,"Niger–Congo, Ubangian, Ngbaka, Mbaka","Central African Republic, Democratic Republic of the Congo","Christianity, Catholicism, Traditional African religions"
Mende,"Niger–Congo, Mande, Southwestern Mande, Mende",Sierra Leone,Islam
Merina,"Austronesian, Malayo-Polynesian, Malagasy",Antananarivo Province,Christianity
Mijikenda,"Niger–Congo, Bantu, Sabaki, Mijikenda","Coast Province, Tanga Region ",Christianity
Minahasan,"Austronesian, Philippine, Minahasan",Minahassa Peninsula,"Christianity, Protestantism"
Minangkabau,"Austronesian, Malayo-Polynesian, Minangkabau",Indonesia,"Islam, Sunni Islam"
Mishing,"Sino-Tibetan, Tani, Mishing",India ,Donyi-Polo
Miskito,"Misumalpan, Miskito",Mosquito Coast,"Christianity, Protestantism, Animism"
Mixtec,"Oto-Manguean, Mixtecan, Mixtec",Mexico,"Christianity, Catholicism"
Mon,"Austroasiatic, Monic, Mon",Mon State,"Buddhism, Theravada Buddhism"
Mongo,"Niger–Congo, Bantu, Bangi-Ntomba, Mongo ",Democratic Republic of the Congo,"Christianity, Traditional African religions"
Mongols,Mongolic ,"China , Mongolia, Russia","Buddhism, Tibetan Buddhism"
Mongondow,"Austronesian, Philippine, Mongondowic, Mongondow",Mongondowia,"Islam, Sunni Islam"
Montenegrins,"Indo-European, Slavic, Serbo-Croatian, Montenegrin",Montenegro,"Christianity, Eastern Orthodoxy"
Mordvins,"Uralic, Mordvinic ",Mordovia ,"Christianity, Eastern Orthodox"
Mossi,"Niger–Congo, Gur, Oti–Volta, Mossi",Mossiland,Islam
Munanese,"Austronesian, Celebic, Munanese ",Muna ,Islam
Murut,"Austronesian, Southwest Sabahan, Murutic ",Murutia ,"Christianity, Catholicism"
Muscogee,"Muskogean, Muscogee",Muscogee  Nation ,"Native American religion, Creek mythology"
Māori,"Austronesian, Polynesian, Māori ",New Zealand,Christianity
Naga,"Sino-Tibetan, Kuki-Chin–Naga ","India , Myanmar",Christianity
Nahuas,"Uto-Aztecan, Nahuan, Nahuatl","Mexico , Guerrero, San Luis Potosí, Veracruz)","Christianity, Catholicism"
Nama,"Khoe, Khoekhoe","Namaland, South Africa",Christianity
Navajo,"Dené–Yeniseian, Na-Dené, Athabaskan, Navajo",Navajo Nation,"Christianity, Catholicism"
Ngalop,"Sino-Tibetan, Tibetic, Dzongkha",Bhutan,"Buddhism, Tibetan Buddhism"
Nias,"Austronesian, Northwest Sumatran, Nias",Nias island,Christianity
Nogais,"Turkic, Common Turkic, Kipchak, Nogai","Dagestan, Karachay-Cherkessia, Chechnya, Stavropol District, Astrakhan Oblast","Islam, Sunni Islam"
Norwegians,"Indo-European, Germanic, Norwegian",Norway,"Christianity, Protestantism"
Nubians,"Nilo-Saharan, Nubian ",Nubia ,Islam
Nuer,"Nilo-Saharan, Nilotic, Western Nilotic, Nuer",Nuerland ,Traditional African religions
Nuristanis,"Indo-European, Indo-Iranian, Nuristani ",Nuristan,"Islam, Sunni Islam"
Occitans,"Indo-European, Italic, Romance, Occitan< ",Occitania ,Christianity
Odia,"Indo-European, Indo-Iranian, Indo-Aryan, Odia",Odisha ,Hinduism
Ojibwe,"Algic, Algonquian, Ojibwe",Anishinaabeland,Midewiwin
Oromo,"Afroasiatic, Cushitic, Oromo","Oromia , Kenya","Islam, Sunni Islam"
Ossetians,"Indo-European, Indo-Iranian, Iranian, Ossetian","South Ossetia, North Ossetia-Alania ","Christianity, Eastern Orthodoxy"
Otomi,"Oto-Manguean, Otomian, Otomi",Mexico,"Christianity, Catholicism, Mesoamerican religion"
Ovambo,"Niger–Congo, Atlantic–Congo, Bantu, Oshiwambo","Ovamboland, Angola","Christianity, Protestantism"
Ovimbundu,"Niger–Congo, Atlantic–Congo, Bantu, Umbundu",Angola,Christianity
Pa'O,"Sino-Tibetan, Karenic, Pa'O",Myanmar,"Buddhism, Theravada Buddhism"
Pamiris,"Indo-European, Indo-Iranian, Iranian, Pamir ",Pamir Mountains,"Islam, Shia Islam"
Pashtuns,"Indo-European, Indo-Iranian, Iranian, Pashto",Pashtunistan,"Islam, Sunni Islam"
Persians,"Indo-European, Indo-Iranian, Iranian, Persian",Iran,"Islam, Shia Islam"
Poles,"Indo-European, Slavic, West Slavic, Polish",Poland,"Christianity, Catholicism"
Portuguese,"Indo-European, Romance, Portuguese",Portugal,"Christianity, Catholicism"
Punjabis,"Indo-European, Indo-Iranian, Indo-Aryan, Punjabi",East and WestPunjab ,Islam
Purépecha,Purépecha,Michoacán,"Christianity, Catholicism"
Qashqai,"Turkic, Oghuz, Qashqai",Iran,"Islam, Shia Islam"
Quechua,Quechuan ,"Peru, Bolivia, Ecuador","Christianity, Catholicism"
Rajbongshi,"Indo-European, Indo-Aryan, Rangpuri",India ,Hinduism
Rakhine,"Sino-Tibetan, Tibeto-Burman, Burmish, Rakhinenese",Rakhine State,"Buddhism, Theravada Buddhism"
Rejangese,"Austronesian, Bidayuh, Rejang",Rejang Lebong Regency,"Islam, Sunni Islam"
Rohingyas,"Indo-European, Indo-Aryan, Rohingya",Rakhine State,Islam
Roma,"Indo-European, Indo-Iranian, Indo-Aryan, Romani",Europe ,Christianity 
Romanians,"Indo-European, Romance, Romanian","Romania, Moldova, Chernivtsi Oblastand Budjak","Christianity, Eastern Orthodoxy"
Russians,"Indo-European, Slavic, East Slavic, Russian",Russia,"Christianity, Eastern Orthodoxy"
Rusyns,"Indo-European, Slavic, Rusyn",Carpathian Ruthenia ,Christianity
Ryukyuans,"Japonic, Ryukyuan ",Ryukyu islands,Ryukyuan religion
Saho,"Afroasiatic, Cushitic, Saho",Eritrea,Islam
Sami,"Uralic, Finno-Ugric, Sami ",Sápmi ,"Christianity, Protestantism"
Samoans,"Austronesian, Polynesian, Samoan",Samoan Islands,Christianity
San,Kx'a  ,Southern Africa,"Traditional African religions, San religion"
Sangirese,"Austronesian, Philippine, Sangiric, Sangirese",Sangihe Islands,"Christianity, Protestantism"
Sara,"Nilo-Saharan, Central Sudanic, Sara ","Chad, Central African Republic",Traditional African religions
Sardinians,"Indo-European, Romance, Sardinian",Sardinia ,"Christianity, Catholicism"
Scottish,"Indo-European, Celtic, Goidelic, Scottish Gaelic ",Scotland ,"Christianity, Protestantism"
Senufo,"Niger–Congo, Atlantic–Congo, Senufo ","Mali, Ivory Coast, Burkina Faso",Traditional African religions
Serbs,"Indo-European, Slavic, Serbo-Croatian, Serbian","Serbia, Republika Srpska , Montenegro","Christianity, Eastern Orthodoxy"
Serer,"Niger–Congo, Atlantic–Congo, Senegambian, Serer",Senegal,Islam
Shan,"Kra–Dai, Tai, Southwestern Tai, Shan",Shan State,"Buddhism, Theravada Buddhism"
Shilluk,"Nilo-Saharan, Nilotic, Luo Nilotic, Shilluk",South Sudan,"Christianity, Catholicism"
Shona,"Niger–Congo, Atlantic–Congo, Bantu, Shona",Mashonaland,"Christianity, Traditional African religions"
Sidama,"Afroasiatic, Cushitic, Sidaama",Sidamia ,Christianity
Siddi,"Niger–Congo, Bantu, Swahili, Sidi ","Pakistan, India",Islam
Silesian,"Indo-European, Slavic, Lechitic, Silesian","Silesia , Czech Silesia","Christianity, Catholicism"
Silt'e,"Afroasiatic, Semitic, Ethiopian Semitic, Silt'e",Siltia ,Islam
Sindhis,"Indo-European, Indo-Iranian, Indo-Aryan, Sindhi",Sindh ,Islam
Sinhalese,"Indo-European, Indo-Aryan, Sinhalese",Sri Lanka,"Buddhism, Theravada Buddhism"
Sioux,"Siouan, Sioux",Lakota ,Native American religion
Slovaks,"Indo-European, Slavic, Slovak",Slovakia,"Christianity, Catholicism"
Slovenes,"Indo-European, Slavic, South Slavic, Slovene",Slovenia,"Christianity, Catholicism"
Soga,"Niger–Congo, Bantu, Great Lakes Bantu, Soga",Busoga ,"Christianity, Traditional African religions"
Somalis,"Afroasiatic, Cushitic, Somali",Greater Somalia,Islam
Songhai,"Nilo-Saharan, Songhai","Mali, Niger",Islam
Soninke,"Niger–Congo, Mande, Soninke",Mali,Islam
Sotho,"Niger–Congo, Bantu, Sotho-Tswana, Sotho","Free State , Lesotho","Christianity, Traditional African religions"
Spaniards,"Indo-European, Romance, Spanish",Spain,"Christianity, Catholicism"
Sukuma,"Niger–Congo, Bantu, Sukuma",Tanzania,"Christianity, Traditional African religions"
Sundanese,"Austronesian, Malayo-Polynesian, Sundanese",Java,"Islam, Sunni Islam"
Surma,"Nilo-Saharan, Eastern Sudanic, Surmic ","Ethiopia, South Sudan",Traditional African religions
Swahili,"Niger–Congo, Bantu, Sabaki, Swahili",Swahili coast,Islam
Swazi,"Niger–Congo, Bantu, Nguni, Swazi","Mpumalanga, Swaziland","Christianity, Traditional African religions"
Swedes,"Indo-European, Germanic, North Germanic, Swedish",Sweden,"Christianity, Protestantism"
Tabasaran,"Northeast Caucasian, Samur, Tabasaranese",Tabasaranstan,"Islam, Sunni Islam"
Tagalogs,"Austronesian, Philippine, Tagalog",Philippines,"Christianity, Catholicism"
Tahitians,"Austronesian, Polynesian, Tahitian ",Tahiti ,Christianity
Tajiks,"Indo-European, Indo-Iranian, Iranian, Tajik","Afghanistan, Tajikistan, Uzbekistan","Islam, Sunni Islam"
Tama,"Nilo-Saharan, Eastern Sudanic, Taman, Tama","Chad, Sudan",Islam
Tamils,"Dravidian, Tamil","Tamil Nadu , Sri Lanka",Hinduism
Tankas,"Sino-Tibetan, Sinitic, Chinese, Yue Chinese",China,Chinese folk religion
Tatars,"Turkic, Kipchak, Tatar",Tatarstan ,"Islam, Sunni Islam"
Telugu,"Dravidian, Telugu",India ,Hinduism
Temne,"Niger–Congo, Atlantic–Congo, Mel, Temne",Sierra Leone,Islam
Thais,"Kra–Dai, Thai",Thailand,Buddhism
Tibetans,"Sino-Tibetan, Tibeto-Kanauri, Bodish, Tibetic ",Tibet ,"Buddhism, Tibetan Buddhism"
Tigrayans,"Afroasiatic, Semitic, Tigrinya","Eritrea, Tigrayia","Christianity, Oriental Orthodoxy"
Tigre,"Afroasiatic, Semitic, Ethiopic, Tigre",Eritrea,Islam
